지점명,주소,위도,경도
압구정미소,서울특별시 강남구 논현로 841 (신사동),37.52405601,127.027915
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.50393894,127.0485135
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389
차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",37.508032,127.035373
청담공원,서울특별시 강남구 학동로 506 (삼성동),37.5186549,127.05143870000006
신압구정,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.50898041,127.0403869
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.02968850000002
역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.50080096,127.0351577
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576,127.057966
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.505053,127.046577
논현힐탑,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.03226199999994
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.51736229999999,127.02329570000006
대치한티,서울특별시 강남구 선릉로 324 (대치동),37.4984818,127.0520660
수서역사거리,서울특별시 강남구 광평로 280 (수서동),37.4873267937748,127.103140081887
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),37.513019,127.059838
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),37.50369465391196,127.04172081609172
도산사거리,서울특별시 강남구 언주로 727 (논현동),37.51966,127.0341
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),37.467274319644,127.099929726
대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동),37.500313,127.066961
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),37.4970572543978,127.028180714381
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),37.50383,127.04487
강남논현,서울특별시 강남구 강남대로 512 (논현동),37.5078978596254,127.023338614644
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동),37.510843366121534,127.06363342044263
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),37.499367,127.048425
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),37.6400354,127.0273766
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),37.611809,127.0306971
수유역,서울특별시 강북구 도봉로 342 (번동),37.6380167,127.02613500000007
미아역,서울특별시 강북구 도봉로 196 (미아동),37.626148,127.026578
파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,37.664380074618,127.008566467101
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),37.558509,126.835096
마곡역,서울특별시 강서구 공항대로 168 (마곡동),37.559611,126.826298
우장산역,서울특별시 강서구 강서로 267 (내발산동),37.549501,126.835984
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),37.5605261,126.833887
방화DT,서울특별시 강서구 방화대로 375 (방화동),37.574339,126.816415
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),37.56813,126.82614
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",37.560487,126.829667
가양역,서울특별시 강서구 양천로 476 (등촌동),37.561640,126.853327
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),37.535149,126.863232
양천향교역,서울특별시 강서구 강서로 463 (마곡동),37.566964,126.840731
화곡동,서울특별시 강서구 화곡로 142(화곡동),37.5405115,126.8372413
등촌,서울특별시 강서구 공항대로 329 (등촌동),37.5582043,126.84433919999992
염창역,서울특별시 강서구 공항대로 627 (염창동),37.547359,126.874436
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,37.56033,126.839279
가양이마트,서울특별시 강서구 양천로 559 (가양동) 1층,37.5578966,126.86229779999996
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),37.532303,126.846077
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",37.55101,126.86638
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",37.56007,126.855372
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",37.55467,126.83672
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",37.56754,126.82553
강서NC,서울특별시 강서구 강서로56길 17 (등촌동),37.560088,126.840534
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동),37.567007,126.822246
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동),37.5549266,126.8523133
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),37.477946,126.961193
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),37.479343,126.95278
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),37.481599,126.952200
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),37.476169,126.965005
사당,서울특별시 관악구 남부순환로 2082-25,37.47601,126.980997
보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,37.491449,126.925432
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),37.484768,126.930467
신림,서울특별시 관악구 신림로 355-1 (신림동),37.48609493,126.9291602
신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층,37.48385383,126.9301799
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),37.48118,126.951324
봉천역,서울특별시 관악구 남부순환로 1730 (봉천동),37.4820375340064,126.942287792538
건국대,서울특별시 광진구 능동로 117 (화양동),37.5415592,127.0711244
어린이대공원역,서울특별시 광진구 능동로 243 (군자동),37.551946,127.076404
아차산역,서울특별시 광진구 천호대로 676 (구의동),37.5505388,127.0898757
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),37.541129,127.095240
구의DT,서울특별시 광진구 광나루로 519 (구의동),37.5451984,127.0871587
자양사거리,서울특별시 광진구 아차산로 355,37.5371158,127.0825821
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.556965,127.079032
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",37.547442,127.105934
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),37.538544,127.073009
자양,서울특별시 광진구 능동로 50 (자양동),37.5354769,127.06914619999998
강변역,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,37.536155,127.093086
건대입구,서울특별시 광진구 능동로 107 (화양동),37.5406604,127.07072249999999
구의역,서울특별시 광진구 아차산로 373 (구의동),37.53698,127.084015
광장,서울특별시 광진구 아차산로 537-17 (광장동),37.542518,127.099651
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,37.538466,127.071271
건대후문,서울특별시 광진구 능동로 172 (화양동),37.5460180138476,127.074001181744
중곡역,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",37.5650109508732,127.08459679908
자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층,37.537817,127.072597
뚝섬유원지역,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",37.532684640479,127.067878503557
군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층,37.5575666,127.0793340
금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호",37.455983,126.895727
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),37.48061318,126.8805702
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),37.471528328745485,126.89856062315228
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),37.448624,126.903183
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),37.481324,126.883779
금천독산,서울특별시 금천구 두산로 70 (독산동),37.46914,126.895246
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),37.4798346,126.88249969999992
W-Mall,서울특별시 금천구 디지털로 188 (가산동),37.47730499,126.8876908
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,37.478701,126.885076
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),37.477221,126.883683
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.4794491,126.88747680000006
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호",37.4676446,126.8876698
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",37.6295,127.0574
월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동),37.6277053,127.06149779999998
상계초교사거리,서울특별시 노원구 노원로 449 (상계동),37.656776,127.066442
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),37.6206884,127.0743116
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",37.660941,127.058008
공릉역,서울특별시 노원구 동일로 1081 (공릉동),37.626337,127.072252
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",37.65048737,127.0759861
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",37.654562,127.063617
광운대,서울특별시 노원구 석계로 104 (월계동),37.6231479,127.06070090000003
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",37.64817,127.062244
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층,37.654751,127.060034
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),37.627155,127.062094
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),37.61942,127.07932
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),37.651645,127.046869
쌍문역,서울특별시 도봉구 도봉로 480 (창동),37.648456,127.034783
쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동),37.6453516,127.0331011
방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",37.6653125,127.0433125
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",37.513068,126.946537
상도역,서울특별시 동작구 상도로37길 1 (상도1동),37.5031936,126.9484581
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",37.49226212712864,126.92334570798292
노량진역,서울특별시 동작구 노량진로 134 (노량진동),37.513390,126.940879
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),37.499914,126.931766
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),37.506933,126.958125
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),37.4968346,126.95271230000003
숭실대,서울특별시 동작구 사당로 4 (상도동),37.49538073,126.9548891
서강대프라자,서울특별시 마포구 백범로 35 (신수동),37.551073,126.943096
상암YTN,서울특별시 마포구 상암산로 76 (상암동),37.579183,126.892315
마포용강동,서울특별시 마포구 토정로 295 (용강동),37.541186,126.942209
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),37.554636,126.92036
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),37.550800,126.953432
공덕,서울특별시 마포구 마포대로 130 (공덕동),37.545913,126.952956
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.5509,126.9134
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),37.557491,126.925146
마포염리,서울특별시 마포구 독막로 311 (염리동),37.543876,126.947680
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),37.549377,126.931661
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",37.549630,126.912999
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),37.548178,126.941576
서교동사거리,서울특별시 마포구 양화로 105 (서교동),37.553376,126.918564
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),37.581470,126.888983
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),37.555137,126.934694
상암디지털큐브,서울특별시 마포구 상암산로 34,37.5763132,126.8892477
상수역,서울특별시 마포구 독막로 88 (상수동),37.5474817,126.92321579999998
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,37.5424641,126.95057730000008
서강대,서울특별시 마포구 백범로 23 (신수동),37.5524584,126.9378262
상암MBC,서울특별시 마포구 성암로 267 (상암동),37.581297,126.890908
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",37.557175,126.923654
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",37.556928,126.919819
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",37.55218737,126.9555203
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",37.577623,126.890684
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",37.54043451,126.9463168
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,37.54145556,126.948819
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),37.550266,126.923179
망원역,서울특별시 마포구 월드컵로 74 (서교동),37.555829,126.910637
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,37.542421,126.953341
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.551004,126.913848
아현역대로,서울특별시 마포구 신촌로 262 (아현동),37.557097,126.954834
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동),37.556743503599,126.924166543608
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동),37.5545625,126.8956875
가재울뉴타운,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)",37.5749841,126.9164441
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",37.577386,126.920815
신촌역,서울특별시 서대문구 신촌로 73 (창천동),37.556167,126.934673
연희동,서울특별시 서대문구 연희로 97 (연희동),37.566702,126.930475
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)",37.558421,126.956349
홍제역,서울특별시 서대문구 통일로 451 (홍제동),37.588658,126.943864
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,37.562644,126.937529
연희DT,서울특별시 서대문구 연희로 144 (연희동),37.5702143,126.9339777
경기대,서울특별시 서대문구 충정로 53 (충정로2가),37.56367995,126.9646045
신촌,서울특별시 서대문구 연세로 10-1 (창천동),37.55648577,126.9371155
이대R,서울특별시 서대문구 이화여대길 34 (대현동),37.55848315,126.9459643
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",37.56177145,126.9414708
이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,37.561631,126.94735
연대,서울특별시 서대문구 연세로 35 (창천동),37.558706,126.936727
신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동),37.556505,126.940238
충정로역,서울특별시 서대문구 충정로 23,37.56137,126.963219
연대동문,서울특별시 서대문구 성산로 565 (대신동),37.566385,126.946273
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",37.557796,126.938095
충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",37.559869,126.964110
북가좌DT,서울특별시 서대문구 응암로 85 (북가좌동),37.580758,126.911478
현대신촌,서울특별시 서대문구 신촌로 83 (창천동),37.5560830579515,126.935844876509
방배로,서울특별시 서초구 방배로 52 (방배동),37.4793434,126.9994968
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),37.503789,127.024075
센트럴F1,서울특별시 서초구 신반포로 176 (반포동),37.505148,127.004395
서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동),37.487931,127.009126
서초구청,서울특별시 서초구 남부순환로 2557 (서초동),37.484206,127.030103
서초우성사거리,서울특별시 서초구 강남대로 343 (서초동),37.493545,127.029430
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),37.514890,127.019469
서울고속터미널,서울특별시 서초구 신반포로 194 (반포동),37.504406,127.005648
강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동),37.507413,127.022568
서초법원,서울특별시 서초구 서초대로 274 (서초동),37.492970,127.011875
청계산입구역,서울특별시 서초구 청계산로 203 (신원동),37.447323,127.056250
파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY,37.5030521,127.004362
교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,37.494207,127.01394
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,37.4820475,127.0367682
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,37.5111983,127.0205875
서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤,37.494941,127.027422
서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,37.480866,127.012368
서초중앙로,서울특별시 서초구 서초중앙로 225,37.501691,127.01152
센트럴시티,서울특별시 서초구 신반포로 176 (반포동),37.504707,127.004459
강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동),37.49562035,127.0277144
방배역,서울특별시 서초구 방배로 84 (방배동),37.48200755,126.9976438
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,37.508589,127.011959
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)",37.48467334,127.0169464
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,37.51031339,127.0069582
강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",37.5000875,127.02549090000002
교대,서울특별시 서초구 서초중앙로 118 (서초동),37.4923611,127.0142207
하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)",37.46330766,127.0368447
신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩,37.50529,127.023636
영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)",37.48203954,127.0425748
남부터미널2,서울특별시 서초구 효령로 274 (서초동),37.48436736,127.0142192
서래마을입구,서울특별시 서초구 서래로 48 (반포동),37.49925284,126.9984801
몬테소리,서울특별시 서초구 강남대로 399 (서초동),37.4982695,127.026865
서초역,서울특별시 서초구 반포대로 118 (서초동),37.49067495,127.0086118
교대법원,서울특별시 서초구 서초중앙로 164 (서초동),37.496329,127.013336
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)",37.498056,127.02583300000003
서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)",37.485941,127.021525
서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)",37.487397,127.015134
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)",37.5027,127.023894
반포자이,서울특별시 서초구 잠원로 24 (반포동),37.507170475349405,127.0099189083483
서이초교사거리,서울특별시 서초구 사임당로 143 (서초동),37.4918146,127.0252252
서울웨이브아트센터,서울특별시 서초구 잠원로 145-35 (잠원동),37.518807,127.00704
길음역,서울특별시 성북구 정릉로 376 (돈암동),37.602139,127.025271
미아이마트,서울특별시 성북구 도봉로 17 (길음동),37.610678,127.029921
종암DT,서울특별시 성북구 종암로 17 (종암동),37.5919525,127.0360401
미아,서울특별시 성북구 동소문로 314 (하월곡동),37.607581,127.029303
성신여대정문,서울특별시 성북구 보문로34길 62 (동선동2가),37.590910,127.018800
종암,서울특별시 성북구 종암로 122 (종암동),37.601095,127.033847
삼선교,서울특별시 성북구 동소문로 10 (동소문동2가),37.588696,127.00732070000003
월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)",37.601718,127.040446
고대,서울특별시 성북구 고려대로24길 51 (안암동5가),37.58397192,127.0297352
현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층,37.60837822,127.0287483
성신여대,서울특별시 성북구 동소문로24길 12 (동선동1가),37.593135,127.018379
안암역,서울특별시 성북구 고려대로 102-2 (안암동5가),37.586319,127.030556
한성대입구역,서울특별시 성북구 성북로 11 (성북동1가),37.589054,127.004839
장위뉴타운,서울특별시 성북구 장월로38길 4 (장위동),37.6179568965998,127.051535709778
송파나루역DT,서울특별시 송파구 오금로 142 (송파동),37.510793,127.1102658
송파헬리오시티,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",37.4978563,127.1031325
잠실시그마타워,서울특별시 송파구 올림픽로 289 (신천동),37.514567,127.102493
문정법원로R,서울특별시 송파구 송파대로 201 (문정동),37.487447,127.119164
송파개롱역,서울특별시 송파구 오금로 420 (가락동),37.496956,127.13652
문정하비오,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호",37.481925,127.123446
문정역,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호",37.484813,127.122237
잠실대교남단R,서울특별시 송파구 송파대로 570 타워 730 1층,37.515511,127.099006
송파위례,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)",37.478264,127.144067
송파방이DT,서울특별시 송파구 오금로 241 (방이동),37.506564,127.120495
올림픽평화의문,서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트,37.5156426,127.11648190000005
송파아이파크,서울특별시 송파구 법원로 55 (문정동),37.479892,127.122379
